1,2,3,4,5,6,7,8,9,10,11,12,13,14,4,15,13,11,16,4,17,11,18,4,19,0
4,17,11,18,4,19,20,14,14,20,21,12,14,14,20,18,4,22,5,4,23,24,25,25,25,1
23,26,27,23,27,4,28,4,5,6,10,20,11,9,10,13,10,20,4,2,23,4,29,20,11,0
4,17,11,18,4,19,20,14,14,20,21,12,14,14,20,18,4,22,5,4,23,24,25,25,25,1
1,3,25,4,31,27,10,32,4,29,10,4,29,33,18,4,34,11,13,6,7,4,35,13,36,0
33,18,4,34,11,13,6,7,4,35,13,36,12,7,9,18,4,22,5,4,23,2,37,23,24,1
1,2,3,4,5,6,7,8,9,10,11,12,13,14,4,15,13,11,16,4,17,11,18,4,19,0
4,17,11,18,4,19,20,14,14,20,21,12,14,14,20,18,4,22,5,4,23,24,25,25,25,1
23,26,27,23,27,4,28,4,5,6,10,20,11,9,10,13,10,20,4,2,23,4,29,20,11,0
4,17,11,18,4,19,20,14,14,20,21,12,14,14,20,18,4,22,5,4,23,24,25,25,25,1
1,3,25,4,31,27,10,32,4,29,10,4,29,33,18,4,34,11,13,6,7,4,35,13,36,0
33,18,4,34,11,13,6,7,4,35,13,36,12,7,9,18,4,22,5,4,23,2,37,23,24,1
27,1,26,4,38,4,33,12,14,14,12,13,39,4,29,10,18,4,40,6,6,4,40,11,41,0
39,4,29,10,18,4,40,6,6,4,40,11,41,42,11,18,4,22,5,4,23,24,25,3,23,1
1,1,25,26,4,33,20,13,14,10,32,43,4,29,10,4,29,38,18,4,34,11,13,6,7,0
38,18,4,34,11,13,6,7,4,35,13,36,12,7,9,18,4,22,5,4,23,2,37,3,27,1
25,3,25,4,29,4,44,14,7,4,33,42,42,7,45,13,11,7,4,40,21,20,18,4,19,0
40,21,20,18,4,19,12,11,39,12,6,46,32,13,39,18,4,22,5,4,23,24,3,3,2,1
26,3,31,3,4,33,13,9,32,10,20,6,13,45,4,40,21,20,4,29,10,20,4,25,25,0
4,25,25,1,18,4,40,6,6,4,40,11,41,42,11,18,4,22,5,4,23,24,25,3,23,1
25,2,23,23,4,19,11,20,10,42,6,4,35,7,4,29,38,18,4,34,11,13,6,7,4,0
